date,CH4
2026-01-11,1891.5788245567906
2026-01-12,1891.6843073918267
2026-01-13,1891.7897902268628
2026-01-14,1891.8952730618987
2026-01-15,1892.0007558969348
2026-01-16,1892.106238731971
2026-01-17,1892.211721567007
2026-01-18,1892.317204402043
2026-01-19,1892.4226872370791
2026-01-20,1892.5281700721152
2026-01-21,1892.6336529071511
2026-01-22,1892.7391357421873
2026-01-23,1892.8446185772234
2026-01-24,1892.9501014122593
2026-01-25,1893.0555842472954
2026-01-26,1893.1610670823316
2026-01-27,1893.2665499173675
2026-01-28,1893.3720327524036
2026-01-29,1893.4775155874397
2026-01-30,1893.5829984224758
2026-01-31,1893.6884812575117
2026-02-01,1893.7939640925479
2026-02-02,1893.899446927584
2026-02-03,1894.00492976262
2026-02-04,1894.110412597656
2026-02-05,1894.2158954326922
2026-02-06,1894.321378267728
2026-02-07,1894.4268611027642
2026-02-08,1894.5323439378003
2026-02-09,1894.6378267728362
2026-02-10,1894.7433096078723
2026-02-11,1894.8487924429085
2026-02-12,1894.9542752779446
2026-02-13,1895.0597581129805
2026-02-14,1895.1652409480166
2026-02-15,1895.2707237830527
2026-02-16,1895.3762066180886
2026-02-17,1895.4816894531248
2026-02-18,1895.587172288161
2026-02-19,1895.6926551231968
2026-02-20,1895.798137958233
2026-02-21,1895.903620793269
2026-02-22,1896.009103628305
2026-02-23,1896.114586463341
2026-02-24,1896.2200692983772
2026-02-25,1896.3255521334133
2026-02-26,1896.4310349684492
2026-02-27,1896.5365178034854
2026-02-28,1896.6420006385215
2026-03-01,1896.7474834735574
2026-03-02,1896.8529663085935
2026-03-03,1896.9584491436297
2026-03-04,1897.0639319786656
2026-03-05,1897.1694148137017
2026-03-06,1897.2748976487378
2026-03-07,1897.3803804837737
2026-03-08,1897.4858633188098
2026-03-09,1897.591346153846
2026-03-10,1897.696828988882
2026-03-11,1897.802311823918
2026-03-12,1897.9077946589541
2026-03-13,1898.0132774939902
2026-03-14,1898.1187603290261
2026-03-15,1898.2242431640623
2026-03-16,1898.3297259990984
2026-03-17,1898.4352088341343
2026-03-18,1898.5406916691704
2026-03-19,1898.6461745042066
2026-03-20,1898.7516573392425
2026-03-21,1898.8571401742786
2026-03-22,1898.9626230093147
2026-03-23,1899.0681058443508
2026-03-24,1899.1735886793867
2026-03-25,1899.2790715144229
2026-03-26,1899.384554349459
2026-03-27,1899.490037184495
2026-03-28,1899.595520019531
2026-03-29,1899.7010028545672
2026-03-30,1899.806485689603
2026-03-31,1899.9119685246392
2026-04-01,1900.0174513596753
2026-04-02,1900.1229341947112
2026-04-03,1900.2284170297473
2026-04-04,1900.3338998647835
2026-04-05,1900.4393826998196
2026-04-06,1900.5448655348555
2026-04-07,1900.6503483698916
2026-04-08,1900.7558312049277
2026-04-09,1900.8613140399636
2026-04-10,1900.9667968749998
2026-04-11,1901.072279710036
2026-04-12,1901.1777625450718
2026-04-13,1901.283245380108
2026-04-14,1901.388728215144
2026-04-15,1901.49421105018
2026-04-16,1901.599693885216
2026-04-17,1901.7051767202522
2026-04-18,1901.8106595552883
2026-04-19,1901.9161423903242
2026-04-20,1902.0216252253604
2026-04-21,1902.1271080603965
2026-04-22,1902.2325908954324
2026-04-23,1902.3380737304685
2026-04-24,1902.4435565655047
2026-04-25,1902.5490394005406
2026-04-26,1902.6545222355767
2026-04-27,1902.7600050706128
2026-04-28,1902.8654879056487
2026-04-29,1902.9709707406848
2026-04-30,1903.076453575721
2026-05-01,1903.181936410757
2026-05-02,1903.287419245793
2026-05-03,1903.3929020808291
2026-05-04,1903.4983849158652
2026-05-05,1903.6038677509011
2026-05-06,1903.7093505859373
2026-05-07,1896.781046549479
2026-05-08,1889.8527425130208
2026-05-09,1882.9244384765625
2026-05-10,1875.996134440104
2026-05-11,1869.0678304036458
2026-05-12,1862.1395263671875
2026-05-13,1861.97529296875
2026-05-14,1861.8110595703124
2026-05-15,1861.646826171875
2026-05-16,1861.4825927734375
2026-05-17,1861.318359375
2026-05-18,1861.1541259765625
2026-05-19,1860.989892578125
2026-05-20,1860.8256591796876
2026-05-21,1860.66142578125
2026-05-22,1860.4971923828125
2026-05-23,1860.332958984375
2026-05-24,1860.1687255859374
2026-05-25,1860.0044921875
2026-05-26,1859.8402587890625
2026-05-27,1859.676025390625
2026-05-28,1859.5117919921875
2026-05-29,1859.34755859375
2026-05-30,1859.1833251953126
2026-05-31,1859.019091796875
2026-06-01,1858.8548583984375
2026-06-02,1858.690625
2026-06-03,1858.5263916015624
2026-06-04,1858.362158203125
2026-06-05,1858.1979248046875
2026-06-06,1858.03369140625
2026-06-07,1871.7809448242188
2026-06-08,1885.5281982421875
2026-06-09,1892.1469319661458
2026-06-10,1898.7656656901042
2026-06-11,1905.3843994140625
2026-06-12,1896.8832310267858
2026-06-13,1888.3820626395088
2026-06-14,1879.880894252232
2026-06-15,1871.3797258649554
2026-06-16,1862.8785574776787
2026-06-17,1854.3773890904017
2026-06-18,1845.876220703125
2026-06-19,1889.634033203125
2026-06-20,1891.6221923828125
2026-06-21,1893.6103515625
2026-06-22,1895.5985107421875
2026-06-23,1897.586669921875
2026-06-24,1899.5748291015625
2026-06-25,1901.56298828125
2026-06-26,1903.5511474609375
2026-06-27,1905.539306640625
2026-06-28,1907.5274658203125
2026-06-29,1901.6119384765625
2026-06-30,1910.4226684570312
2026-07-01,1907.6033554077148
2026-07-02,1904.7840423583984
2026-07-03,1901.964729309082
2026-07-04,1899.1454162597656
2026-07-05,1896.3261032104492
2026-07-06,1893.5067901611328
2026-07-07,1890.6874771118164
2026-07-08,1887.8681640625
2026-07-09,1891.08056640625
2026-07-10,1916.4212646484373
2026-07-11,1914.5646100725444
2026-07-12,1912.7079554966515
2026-07-13,1910.8513009207586
2026-07-14,1908.994646344866
2026-07-15,1907.137991768973
2026-07-16,1905.2813371930802
2026-07-17,1903.4246826171873
2026-07-18,1901.5680280412944
2026-07-19,1899.7113734654015
2026-07-20,1897.8547188895086
2026-07-21,1895.998064313616
2026-07-22,1894.141409737723
2026-07-23,1892.2847551618302
2026-07-24,1890.4281005859373
2026-07-25,1908.77392578125
2026-07-26,1914.5906372070312
2026-07-27,1913.5533058860085
2026-07-28,1912.5159745649858
2026-07-29,1911.478643243963
2026-07-30,1910.4413119229403
2026-07-31,1909.4039806019175
2026-08-01,1908.366649280895
2026-08-02,1907.3293179598722
2026-08-03,1906.2919866388495
2026-08-04,1905.2546553178267
2026-08-05,1904.217323996804
2026-08-06,1903.1799926757812
2026-08-07,1902.1426613547585
2026-08-08,1901.1053300337358
2026-08-09,1900.067998712713
2026-08-10,1899.0306673916903
2026-08-11,1897.9933360706675
2026-08-12,1896.956004749645
2026-08-13,1895.9186734286222
2026-08-14,1894.8813421075995
2026-08-15,1893.8440107865767
2026-08-16,1892.806679465554
2026-08-17,1891.7693481445312
2026-08-18,1891.7693481445312
2026-08-19,1891.7693481445312
2026-08-20,1891.7693481445312
2026-08-21,1891.7693481445312
2026-08-22,1891.7693481445312
2026-08-23,1891.7693481445312
