date,NO2
2026-01-03,2.3022598725219723e-05
2026-01-04,2.2318238370644396e-05
2026-01-05,2.1613878016069065e-05
2026-01-06,2.0909517661493738e-05
2026-01-07,2.0205157306918407e-05
2026-01-08,1.950079695234308e-05
2026-01-09,5.467668233904988e-05
2026-01-10,5.2105994473095056e-05
2026-01-11,4.9535306607140236e-05
2026-01-12,4.696461874118541e-05
2026-01-13,4.439393087523058e-05
2026-01-14,4.182324300927576e-05
2026-01-15,3.925255514332094e-05
2026-01-16,3.668186727736611e-05
2026-01-17,3.411117941141129e-05
2026-01-18,3.1540491545456464e-05
2026-01-19,2.8969803679501638e-05
2026-01-20,2.6399115813546815e-05
2026-01-21,2.382842794759199e-05
2026-01-22,2.1257740081637165e-05
2026-01-23,1.868705221568234e-05
2026-01-24,1.611636434972752e-05
2026-01-25,2.3844425413699355e-05
2026-01-26,2.1209937585808802e-05
2026-01-27,1.857544975791825e-05
2026-01-28,1.5940961930027697e-05
2026-01-29,1.3306474102137145e-05
2026-01-30,1.010177129501244e-05
2026-01-31,4.094266842002981e-05
2026-02-01,3.307306936524886e-05
2026-02-02,2.5203470310467917e-05
2026-02-03,1.7333871255686972e-05
2026-02-04,2.273642348882277e-05
2026-02-05,2.2467870208360683e-05
2026-02-06,2.2199316927898593e-05
2026-02-07,2.1930763647436507e-05
2026-02-08,2.1662210366974417e-05
2026-02-09,2.139365708651233e-05
2026-02-10,2.112510380605024e-05
2026-02-11,2.0856550525588155e-05
2026-02-12,2.0587997245126065e-05
2026-02-13,2.031944396466398e-05
2026-02-14,2.005089068420189e-05
2026-02-15,1.9782337403739803e-05
2026-02-16,2.0583547817902097e-05
2026-02-17,2.138475823206439e-05
2026-02-18,2.2185968646226684e-05
2026-02-19,2.298717906038898e-05
2026-02-20,2.378838947455127e-05
2026-02-21,2.4589599888713565e-05
2026-02-22,2.5390810302875856e-05
2026-02-23,2.619202071703815e-05
2026-02-24,2.6993231131200446e-05
2026-02-25,2.7794441545362737e-05
2026-02-26,2.8595651959525032e-05
2026-02-27,2.9396862373687327e-05
2026-02-28,2.915220411523478e-05
2026-03-01,2.8907545856782236e-05
2026-03-02,2.866288759832969e-05
2026-03-03,2.8418229339877145e-05
2026-03-04,2.8173571081424598e-05
2026-03-05,2.792891282297205e-05
2026-03-06,2.7684254564519507e-05
2026-03-07,2.743959630606696e-05
2026-03-08,2.7194938047614416e-05
2026-03-09,2.695027978916187e-05
2026-03-10,3.1909132303553633e-05
2026-03-11,3.071738410653779e-05
2026-03-12,1.3516908438759856e-05
2026-03-13,1.042076382873347e-05
2026-03-14,2.652772491273936e-05
2026-03-15,2.297782293680939e-05
2026-03-16,1.942792096087942e-05
2026-03-17,2.900043728004676e-05
2026-03-18,3.2793723221402615e-05
2026-03-19,2.851552017091308e-05
2026-03-20,2.757837955869036e-05
2026-03-21,2.664123894646764e-05
2026-03-22,2.570409833424492e-05
2026-03-23,2.47669577220222e-05
2026-03-24,2.534144095989177e-05
2026-03-25,2.5783211337208435e-05
2026-03-26,2.6224981714525104e-05
2026-03-27,2.666675209184177e-05
2026-03-28,4.439529948285781e-05
2026-03-29,6.212384687387384e-05
2026-03-30,5.778086675231212e-05
2026-03-31,5.3437886630750396e-05
2026-04-01,4.9094906509188665e-05
2026-04-02,4.475192638762695e-05
2026-04-03,4.040894626606522e-05
2026-04-04,3.606596614450349e-05
2026-04-05,3.172298602294177e-05
2026-04-06,2.194445187342353e-05
2026-04-07,2.035406805589446e-05
2026-04-08,1.901162522699451e-05
2026-04-09,2.3791447737104523e-05
2026-04-10,2.8571270247214538e-05
2026-04-11,3.335109275732455e-05
2026-04-12,3.8130915267434565e-05
2026-04-13,4.291073777754458e-05
2026-04-14,4.7690560287654596e-05
2026-04-15,5.247038279776461e-05
2026-04-16,4.8675095058570144e-05
2026-04-17,4.4879807319375686e-05
2026-04-18,4.108451958018122e-05
2026-04-19,3.728923184098676e-05
2026-04-20,3.049727558845916e-05
2026-04-21,2.3705319335931563e-05
2026-04-22,1.6913363083403965e-05
2026-04-23,1.0121406830876367e-05
2026-04-24,1.0965896763082128e-05
2026-04-25,3.099184186794446e-05
2026-04-26,5.101778697280679e-05
2026-04-27,4.730887376354076e-05
2026-04-28,4.359996055427473e-05
2026-04-29,3.98910473450087e-05
2026-04-30,3.6182134135742674e-05
2026-05-01,3.247322092647664e-05
2026-05-02,3.892509630532004e-05
2026-05-03,4.5376971684163436e-05
2026-05-04,5.182884706300683e-05
2026-05-05,8.213437104132026e-05
2026-05-06,5.0513895985204726e-05
2026-05-07,3.049189217563253e-05
2026-05-08,5.165637412574142e-05
2026-05-09,4.5424380914482754e-05
2026-05-10,3.9192387703224085e-05
2026-05-11,3.6422225093701854e-05
2026-05-12,7.381849900411908e-05
2026-05-13,4.625205110642128e-05
2026-05-14,5.08537377754692e-05
2026-05-15,5.545542444451712e-05
2026-05-16,5.3876533456787e-05
2026-05-17,5.229764246905688e-05
2026-05-18,2.4129001758410595e-05
2026-05-19,3.2125528377946466e-05
2026-05-20,1.7250460587092675e-05
2026-05-21,3.418626420170767e-05
2026-05-22,5.112206781632267e-05
2026-05-23,4.0873015677789226e-05
2026-05-24,5.410167432273738e-05
2026-05-25,4.949005051457789e-05
2026-05-26,4.48784267064184e-05
2026-05-27,2.6203962988802232e-05
2026-05-28,5.469840107252821e-05
2026-05-29,6.192497676238418e-05
2026-05-30,6.915155245224014e-05
2026-05-31,7.63781281420961e-05
2026-06-01,5.345389581634663e-05
2026-06-02,4.901845992814439e-05
2026-06-03,4.458302403994215e-05
2026-06-04,4.014758815173991e-05
2026-06-05,3.841371290036477e-05
2026-06-06,3.017579456354724e-05
2026-06-07,6.182188917591702e-05
2026-06-08,7.214915361449432e-05
2026-06-09,8.247641805307164e-05
2026-06-10,9.280368249164894e-05
2026-06-11,8.565441457903944e-05
2026-06-12,7.850514666642993e-05
2026-06-13,7.135587875382044e-05
2026-06-14,6.420661084121093e-05
2026-06-15,5.705734292860143e-05
2026-06-16,3.076312714256346e-05
2026-06-17,4.8203935875790194e-05
2026-06-18,4.766214806295466e-05
2026-06-19,4.712036025011912e-05
2026-06-20,4.361369701655349e-05
2026-06-21,4.0107033782987855e-05
2026-06-22,3.7360598071245477e-05
2026-06-23,3.46141623595031e-05
2026-06-24,3.186772664776072e-05
2026-06-25,5.162947127246298e-05
2026-06-26,3.4600398066686466e-05
2026-06-27,3.033310167666059e-05
2026-06-28,4.7890930545690935e-05
2026-06-29,6.544875941472128e-05
2026-06-30,6.488757026090752e-05
2026-07-01,6.432638110709377e-05
2026-07-02,7.453940997947939e-05
2026-07-03,4.6385361201828346e-05
2026-07-04,3.670712249004282e-05
2026-07-05,3.723176087078173e-05
2026-07-06,4.8355868784710765e-05
2026-07-07,5.496430094353855e-05
2026-07-08,5.864201375516132e-05
2026-07-09,9.363806020701304e-05
2026-07-10,8.068122588156257e-05
2026-07-11,9.046475315699354e-05
2026-07-12,5.242495899437927e-05
2026-07-13,3.72178956240532e-05
2026-07-14,4.202614763926249e-05
2026-07-15,4.574761442199815e-05
2026-07-16,4.946908120473381e-05
2026-07-17,4.883371184405405e-05
2026-07-18,5.730714110541157e-05
2026-07-19,8.165447070496157e-05
2026-07-20,5.652124491462018e-05
2026-07-21,5.2412004151847214e-05
2026-07-22,5.20381290698424e-05
2026-07-23,6.02661330049159e-05
2026-07-24,4.905428795609623e-05
2026-07-25,5.748111652792432e-05
2026-07-26,5.735923514293973e-05
2026-07-27,5.0539834470934394e-05
2026-07-28,4.372043379892906e-05
2026-07-29,3.690103312692372e-05
2026-07-30,6.26248074695468e-05
2026-07-31,4.523694587987848e-05
2026-08-01,4.3653177272062755e-05
2026-08-02,4.206940866424702e-05
2026-08-03,4.0485640056431293e-05
2026-08-04,3.8901871448615566e-05
2026-08-05,4.628071474144235e-05
2026-08-06,5.27234842593316e-05
2026-08-07,5.8187904869555496e-05
2026-08-08,5.639576920657419e-05
2026-08-09,5.579221215157304e-05
2026-08-10,5.908577350055566e-05
2026-08-11,6.237933484953828e-05
2026-08-12,6.420894351322204e-05
2026-08-13,5.696746666217223e-05
2026-08-14,4.6916911742300726e-05
2026-08-15,8.274015272036195e-05
2026-08-16,3.4772849176079035e-05
2026-08-17,3.306724829599261e-05
2026-08-18,3.212129649909912e-05
2026-08-19,3.117534470220562e-05
2026-08-20,3.0229392905312125e-05
2026-08-21,2.994918941112701e-05
2026-08-22,3.762491905945353e-05
2026-08-23,5.280437653709669e-05
